"report_year","coral_cover","sd","reef_count","ci"
1993,25.9520365853659,14.0027914249268,82,3.03084526767038
1994,25.3077701149425,13.2584700551139,87,2.7860561000164
1995,25.2392330097087,11.8911119519992,103,2.2964655082219
1996,26.5058272727273,11.5031543666394,110,2.14969415999392
1997,23.337472972973,9.33192667596359,74,2.126236304382
1998,25.7468148148148,12.1915164798123,108,2.29933327167347
1999,24.1583043478261,10.9485532655987,92,2.23727254557
2000,23.7734591836735,11.2988189193625,98,2.23705201363842
2001,22.9580549450549,12.7881962270444,91,2.62751174999167
2002,22.3196347826087,12.1788153223095,115,2.22593355395798
2003,20.7665204081633,14.5695096374895,98,2.88461573770484
2004,21.7135617977528,14.7949826468876,89,3.07379944712463
2005,24.3592828282828,14.9733723874712,99,2.94956587238787
2006,21.1871826923077,14.8229273563929,104,2.84887492007844
2007,18.9187040816327,12.3587295832351,98,2.44690361864377
2008,20.9180294117647,12.7257608809502,68,3.02472136193768
2009,20.2331014492754,9.355015990405,69,2.2073746980464
2010,18.589367816092,9.05765424752951,87,1.90332163238062
2011,15.770387755102,9.90621521196063,49,2.77374025934898
2012,13.0914509803922,6.97165326823911,51,1.91340437595574
2013,19.9779130434783,12.2400723177604,92,2.50118687720695
2014,18.7860416666667,8.87497995912231,48,2.51074631354138
2015,18.8701216216216,11.2379225654809,74,2.56050864674116
2016,26.1173076923077,12.2559143698348,52,3.33119547187482
2017,24.1075301204819,14.6107455998603,83,3.14332585018593
2018,22.94386,15.2337174888804,50,4.22257105611443
2019,19.99059375,14.4579209670507,64,3.54219063692742
2020,23.1293139534884,16.3170424773044,86,3.44864340397983
2021,29.4683858267717,16.2730583500534,127,2.83024083398551
2022,35.4605862068966,18.2636240854262,87,3.83780942145598
2023,34.1604414414414,15.3414257626412,111,2.85404163805543
2024,37.4727272727273,14.3867334104589,88,3.0059166317445
