"group","species","name","status","year"
"Flora","Abutilon julianae","Norfolk Island Abutilon","Critically Endangered",2003
"Flora","Abutilon julianae","Norfolk Island Abutilon","Critically Endangered",2004
"Flora","Abutilon julianae","Norfolk Island Abutilon","Critically Endangered",2005
"Flora","Abutilon julianae","Norfolk Island Abutilon","Critically Endangered",2006
"Flora","Abutilon julianae","Norfolk Island Abutilon","Critically Endangered",2007
"Flora","Abutilon julianae","Norfolk Island Abutilon","Critically Endangered",2008
"Flora","Abutilon julianae","Norfolk Island Abutilon","Critically Endangered",2009
"Flora","Abutilon julianae","Norfolk Island Abutilon","Critically Endangered",2010
"Flora","Abutilon julianae","Norfolk Island Abutilon","Critically Endangered",2011
"Flora","Abutilon julianae","Norfolk Island Abutilon","Critically Endangered",2012
"Flora","Abutilon julianae","Norfolk Island Abutilon","Critically Endangered",2013
"Flora","Abutilon julianae","Norfolk Island Abutilon","Critically Endangered",2014
"Flora","Abutilon julianae","Norfolk Island Abutilon","Critically Endangered",2015
"Flora","Abutilon julianae","Norfolk Island Abutilon","Critically Endangered",2016
"Flora","Abutilon julianae","Norfolk Island Abutilon","Critically Endangered",2017
"Flora","Abutilon julianae","Norfolk Island Abutilon","Critically Endangered",2018
"Flora","Abutilon julianae","Norfolk Island Abutilon","Critically Endangered",2019
"Flora","Abutilon julianae","Norfolk Island Abutilon","Critically Endangered",2020
"Flora","Abutilon julianae","Norfolk Island Abutilon","Critically Endangered",2021
"Flora","Abutilon julianae","Norfolk Island Abutilon","Critically Endangered",2022
"Flora","Abutilon julianae","Norfolk Island Abutilon","Critically Endangered",2023
"Flora","Abutilon julianae","Norfolk Island Abutilon","Critically Endangered",2024
"Flora","Acacia ammophila","","Vulnerable",2000
"Flora","Acacia ammophila","","Vulnerable",2001
"Flora","Acacia ammophila","","Vulnerable",2002
"Flora","Acacia ammophila","","Vulnerable",2003
"Flora","Acacia ammophila","","Vulnerable",2004
"Flora","Acacia ammophila","","Vulnerable",2005
"Flora","Acacia ammophila","","Vulnerable",2006
"Flora","Acacia ammophila","","Vulnerable",2007
"Flora","Acacia ammophila","","Vulnerable",2008
"Flora","Acacia ammophila","","Vulnerable",2009
"Flora","Acacia ammophila","","Vulnerable",2010
"Flora","Acacia ammophila","","Vulnerable",2011
"Flora","Acacia ammophila","","Vulnerable",2012
"Flora","Acacia ammophila","","Vulnerable",2013
"Flora","Acacia ammophila","","Vulnerable",2014
"Flora","Acacia ammophila","","Vulnerable",2015
"Flora","Acacia ammophila","","Vulnerable",2016
"Flora","Acacia ammophila","","Vulnerable",2017
"Flora","Acacia ammophila","","Vulnerable",2018
"Flora","Acacia ammophila","","Vulnerable",2019
"Flora","Acacia ammophila","","Vulnerable",2020
"Flora","Acacia ammophila","","Vulnerable",2021
"Flora","Acacia ammophila","","Vulnerable",2022
"Flora","Acacia ammophila","","Vulnerable",2023
"Flora","Acacia ammophila","","Vulnerable",2024
"Flora","Acacia anomala","Grass Wattle, Chittering Grass Wattle","Vulnerable",2000
"Flora","Acacia anomala","Grass Wattle, Chittering Grass Wattle","Vulnerable",2001
"Flora","Acacia anomala","Grass Wattle, Chittering Grass Wattle","Vulnerable",2002
"Flora","Acacia anomala","Grass Wattle, Chittering Grass Wattle","Vulnerable",2003
"Flora","Acacia anomala","Grass Wattle, Chittering Grass Wattle","Vulnerable",2004
"Flora","Acacia anomala","Grass Wattle, Chittering Grass Wattle","Vulnerable",2005
"Flora","Acacia anomala","Grass Wattle, Chittering Grass Wattle","Vulnerable",2006
"Flora","Acacia anomala","Grass Wattle, Chittering Grass Wattle","Vulnerable",2007
"Flora","Acacia anomala","Grass Wattle, Chittering Grass Wattle","Vulnerable",2008
"Flora","Acacia anomala","Grass Wattle, Chittering Grass Wattle","Vulnerable",2009
"Flora","Acacia anomala","Grass Wattle, Chittering Grass Wattle","Vulnerable",2010
"Flora","Acacia anomala","Grass Wattle, Chittering Grass Wattle","Vulnerable",2011
"Flora","Acacia anomala","Grass Wattle, Chittering Grass Wattle","Vulnerable",2012
"Flora","Acacia anomala","Grass Wattle, Chittering Grass Wattle","Vulnerable",2013
"Flora","Acacia anomala","Grass Wattle, Chittering Grass Wattle","Vulnerable",2014
"Flora","Acacia anomala","Grass Wattle, Chittering Grass Wattle","Vulnerable",2015
"Flora","Acacia anomala","Grass Wattle, Chittering Grass Wattle","Vulnerable",2016
"Flora","Acacia anomala","Grass Wattle, Chittering Grass Wattle","Vulnerable",2017
"Flora","Acacia anomala","Grass Wattle, Chittering Grass Wattle","Vulnerable",2018
"Flora","Acacia anomala","Grass Wattle, Chittering Grass Wattle","Vulnerable",2019
"Flora","Acacia anomala","Grass Wattle, Chittering Grass Wattle","Vulnerable",2020
"Flora","Acacia anomala","Grass Wattle, Chittering Grass Wattle","Vulnerable",2021
"Flora","Acacia anomala","Grass Wattle, Chittering Grass Wattle","Vulnerable",2022
"Flora","Acacia anomala","Grass Wattle, Chittering Grass Wattle","Vulnerable",2023
"Flora","Acacia anomala","Grass Wattle, Chittering Grass Wattle","Vulnerable",2024
"Flora","Acacia aphylla","Leafless Rock Wattle","Vulnerable",2000
"Flora","Acacia aphylla","Leafless Rock Wattle","Vulnerable",2001
"Flora","Acacia aphylla","Leafless Rock Wattle","Vulnerable",2002
"Flora","Acacia aphylla","Leafless Rock Wattle","Vulnerable",2003
"Flora","Acacia aphylla","Leafless Rock Wattle","Vulnerable",2004
"Flora","Acacia aphylla","Leafless Rock Wattle","Vulnerable",2005
"Flora","Acacia aphylla","Leafless Rock Wattle","Vulnerable",2006
"Flora","Acacia aphylla","Leafless Rock Wattle","Vulnerable",2007
"Flora","Acacia aphylla","Leafless Rock Wattle","Vulnerable",2008
"Flora","Acacia aphylla","Leafless Rock Wattle","Vulnerable",2009
"Flora","Acacia aphylla","Leafless Rock Wattle","Vulnerable",2010
"Flora","Acacia aphylla","Leafless Rock Wattle","Vulnerable",2011
"Flora","Acacia aphylla","Leafless Rock Wattle","Vulnerable",2012
