Listed as,Accepted name,Synonymous listing,Added
Acacia terminalis subsp. terminalis MS,Acacia terminalis terminalis,,2023
Pleuropappus phyllocalymmeus,Angianthus phyllocalymmeus,,2023
Austrostipa bronwenae,Austrostipa bronweniae,,2023
Burmannia sp. Bathurst Island (R.Fensham 1021),Burmannia championii,,2023
Paracaleana dixonii,Caleana dixonii,,2023
Chamelaucium sp. Gingin (N.G.Marchant 6),Chamelaucium lullfitzii,,2023
Plectranthus gratus,Coleus gratus,,2023
Plectranthus habrophyllus,Coleus habrophyllus,,2023
Plectranthus leiperi,Coleus leiperi,,2023
Plectranthus nitidus,Coleus nitidus,,2023
Plectranthus omissus,Coleus omissus,,2023
Plectranthus torrenticola,Coleus torrenticola,,2023
Genoplesium plumosum,Corunastylis plumosa,,2023
Genoplesium rhyoliticum,Corunastylis rhyolitica,,2023
Genoplesium tectum,Corunastylis tecta,,2023
Genoplesium vernale,Corunastylis vernalis,,2023
Nematoceras dienemum,Corybas dienemus,,2023
Tropilis callitrophilis,Dendrobium callitrophilum,,2023
Cepobaculum carronii,Dendrobium carronii,,2023
Crepidium lawleri,Dienia lawleri,,2023
Budawangia gnidioides,Epacris gnidioides,,2023
Eremophila sp. Narrow leaves (J.D.Start D12-150),Eremophila subangustifolia,,2023
Phreatia paleata,Eria paleata,,2023
"Eucalyptus sp. Cattai (Gregson s.n., 28 Aug 1954)",Eucalyptus cryptica,,2023
Corunastylis sp. Charmhaven (NSW 896673),Genoplesium branwhiteorum,,2023
Hibbertia sp. Toolbrunup (J.R.Wheeler 2504),Hibbertia barrettiae,,2023
Hypolepis distans,Hiya distans,,2023
Asplenium wildii,Hymenasplenium wildii,,2023
Lasiopetalum sp. Mount Caroline (S.D. Hopper SDH 6381),Lasiopetalum moullean,,2023
Latrobea colophona,Latrobea colophon,,2023
Marsdenia brevifolia,Leichhardtia brevifolia,,2023
Marsdenia longiloba,Leichhardtia longiloba,,2023
Marsdenia paludicola,Leichhardtia paludicola,,2023
Tetraria australiensis,Morelotia australiensis,,2023
Notelaea ipsviciensis,Notelaea x ipsviciensis,,2023
Desmodium acanthocladum,Pedleya acanthoclada,,2023
Phalaenopsis amabilis subsp. rosenstromii,Phalaenopsis rosenstromii,,2023
Phlegmariurus marsupiiformis,Phlegmariurus delbrueckii,,2023
Phreatia limenophylax,Plexaure limenophylax,,2023
Prasophyllum colemaniae,Prasophyllum colemaniarum,,2023
Prasophyllum littorale,Prasophyllum litorale,,2023
Lycopodium volubile,Pseudodiphasium volubile,,2023
Marattia salicina,Ptisana salicina,,2023
Pultenaea sp. Genowlan Point (NSW 417813),Pultenaea praecipua praecipua,,2023
