Sector,Reef,Tows,Previous survey year,Total A. Solaris per reef,A. Solaris per tow,A. Solaris Outbreak Status,Live Hard Coral Cover %,Report Year
CA,Agincourt Reef No.1,36,2023,0,0,NO,44.5,2024
CA,Arlington Reef,63,2020,0,0,NO,30.3,2024
CA,Green Island,50,2023,1,0.02,NO,26.6,2024
CA,Hastings Reef,57,2023,0,0,NO,26.7,2024
CA,Low Isles,27,2023,0,0,NO,51.1,2024
CA,Mackay Reef,27,2023,0,0,NO,42.5,2024
CA,Norman Reef,40,2021,0,0,NO,45.1,2024
CA,Opal Reef,73,2021,0,0,NO,24.7,2024
CA,Pickersgill Reef,83,2021,0,0,NO,33.6,2024
CA,St. Crispin Reef,96,2023,0,0,NO,21.1,2024
CA,Thetford Reef,43,2023,0,0,NO,29.4,2024
CA,Upolu Cay,32,2007,0,0,NO,6.8,2024
CG,Lagoon Reef,56,2023,0,0,NO,54.3,2024
CG,Mantis Reef,31,2023,0,0,NO,42.1,2024
CG,McSweeney Reef,26,2023,0,0,NO,20.1,2024
CG,Middle Banks 2,9,2023,0,0,NO,75,2024
CG,Middle Banks 3,11,2023,0,0,NO,59.4,2024
CG,Monsoon Reef,27,2023,2,0.07,NO,26.8,2024
CG,Pearson Reef,30,2023,0,0,NO,40.7,2024
CG,Reef 11-049,40,2023,2,0.05,NO,25.9,2024
CG,Reef 11-162,35,2023,0,0,NO,19.8,2024
CU,Wansfell Reef,61,2021,0,0,NO,31.3,2024
CB,Broomfield Reef,50,2023,0,0,NO,58.1,2024
CB,Erskine Island,19,2023,0,0,NO,40.8,2024
CB,Fairfax Island,32,2023,0,0,NO,65.1,2024
CB,Hoskyn Island,32,2021,0,0,NO,61.9,2024
CB,Lady Musgrave Island,54,2023,0,0,NO,63.3,2024
CB,Masthead Island,46,2023,0,0,NO,38.2,2024
CB,One Tree Island,70,2023,3,0.04,NO,60.6,2024
CB,Wreck Island,36,2023,0,0,NO,57.9,2024
CL,Carter Reef,89,2023,0,0,NO,26.6,2024
CL,Eyrie Reef,66,2021,6,0.09,NO,32,2024
CL,Linnet Reef,32,2023,2,0.06,NO,42.8,2024
CL,Lizard Isles,75,2023,0,0,NO,21.3,2024
CL,Macgillivray Reef,13,2023,0,0,NO,46.5,2024
CL,Martin Reef,64,2023,3,0.05,NO,27.2,2024
CL,No Name Reef,57,2023,0,0,NO,21.2,2024
CL,North Direction Island,18,2023,0,0,NO,58.4,2024
CL,Swinger Reef,19,2023,0,0,NO,41,2024
CL,Yonge Reef,89,2023,0,0,NO,28.7,2024
IN,Beaver Reef,34,2019,0,0,NO,18.9,2024
IN,Farquharson Reef,77,2023,0,0,NO,7.9,2024
IN,Feather Reef,52,2023,0,0,NO,19.4,2024
IN,Hedley Reef,67,2023,0,0,NO,21.4,2024
IN,Moss Reef,59,2017,0,0,NO,38,2024
IN,Peart Reef,52,2023,0,0,NO,19.3,2024
IN,Taylor Reef,59,2023,0,0,NO,17,2024
IN,Wardle Reef,61,2021,0,0,NO,21.6,2024
PO,Briggs Reef,10,2015,0,0,NO,55,2024
PO,Creal Reef,21,2021,0,0,NO,69.1,2024
PO,Credlin Reef East,54,2023,0,0,NO,35,2024
PO,Penrith Island,48,2020,0,0,NO,36.4,2024
PO,Pompey Reef No.1,59,2023,0,0,NO,39.4,2024
PO,Pompey Reef No.2,42,2023,0,0,NO,25,2024
PO,Reef 21-060,24,2023,0,0,NO,41.8,2024
PO,Reef 21-139,60,2023,0,0,NO,57.8,2024
PO,Reef 21-187,46,2023,7,0.15,PO,62.5,2024
PO,Reef 21-591,27,2023,0,0,NO,37.9,2024
PO,Tern Island,30,2023,67,2.23,SO,23,2024
PC,Corbett Reef,98,2023,0,0,NO,32.2,2024
PC,Davie Reef,47,2023,0,0,NO,34.8,2024
PC,Reef 13-124,64,2023,0,0,NO,39.4,2024
PC,Rodda Reef,35,2023,0,0,NO,40.1,2024
PC,Sand bank No.1,34,2023,0,0,NO,44.9,2024
PC,Tydeman Reef,62,2023,0,0,NO,38.2,2024
SW,Corbett Reef,98,2023,0,0,NO,32.2,2024
SW,Davie Reef,47,2023,0,0,NO,34.8,2024
SW,Reef 13-124,64,2023,0,0,NO,39.4,2024
SW,Rodda Reef,35,2023,0,0,NO,40.1,2024
SW,Sand bank No.1,34,2023,0,0,NO,44.9,2024
SW,Tydeman Reef,62,2023,0,0,NO,38.2,2024
TO,Chicken Reef,50,2023,0,0,NO,26.2,2024
TO,Davies Reef,46,2023,0,0,NO,50.2,2024
TO,Helix Reef,17,2023,0,0,NO,43.9,2024
TO,John Brewer Reef,73,2023,0,0,NO,17.3,2024
TO,Kelso Reef,74,2023,0,0,NO,28.1,2024
TO,Knife Reef,32,2022,0,0,NO,50.1,2024
TO,Myrmidon Reef,48,2023,0,0,NO,46.4,2024
TO,Rib Reef,37,2023,0,0,NO,22.7,2024
WH,Hardy Reef,152,2023,0,0,NO,43.7,2024
WH,Hayman Island,32,2023,0,0,NO,25.1,2024
WH,Hyde Reef,50,2023,0,0,NO,44.2,2024
WH,Langford and Bird Isles,28,2023,0,0,NO,18.8,2024
WH,Rebe Reef,40,2023,0,0,NO,46.6,2024
WH,Reef 19-131,54,2023,0,0,NO,29,2024
WH,Reef 19-138,28,2023,0,0,NO,38.1,2024
WH,Reef 20-104,26,2023,0,0,NO,39.4,2024
WH,Slate Reef,45,2023,1,0.02,NO,52.8,2024
