group,species,name,status,year,listing,effective
Flora,Abutilon julianae,Norfolk Island Abutilon,Critically Endangered,2003,Listed,25/11/2003
Flora,Acacia ammophila,,Vulnerable,2000,Listed,16/07/2000
Flora,Acacia anomala,"Grass Wattle, Chittering Grass Wattle",Vulnerable,2000,Listed,16/07/2000
Flora,Acacia aphylla,Leafless Rock Wattle,Vulnerable,2000,Listed,16/07/2000
Flora,Acacia aprica,Blunt Wattle,Endangered,2000,Listed,16/07/2000
Flora,Acacia araneosa,"Spidery Wattle, Balcanoona Wattle",Vulnerable,2000,Listed,16/07/2000
Flora,Acacia aristulata,Watheroo Wattle,Endangered,2000,Listed,16/07/2000
Flora,Acacia ataxiphylla magna,Large-fruited Tammin Wattle,Endangered,2000,Listed,16/07/2000
Flora,Acacia attenuata,,Vulnerable,2000,Listed,16/07/2000
Flora,Acacia auratiflora,Orange-flowered Wattle,Endangered,2000,Listed,16/07/2000
Flora,Acacia awestoniana,Stirling Range Wattle,Vulnerable,2000,Listed,16/07/2000
Flora,Acacia axillaris,"Midlands Mimosa, Midlands Wattle",Vulnerable,2000,Listed,16/07/2000
Flora,Acacia baueri aspera,,Endangered,2023,Listed,15/11/2023
Flora,Acacia blayana,Blay's Wattle,Critically Endangered,2023,Listed,15/11/2023
Flora,Acacia brachypoda,Western Wheatbelt Wattle,Endangered,2000,Listed,16/07/2000
Flora,Acacia bynoeana,"Bynoe's Wattle, Tiny Wattle",Vulnerable,2000,Listed,16/07/2000
Flora,Acacia caerulescens,"Limestone Blue Wattle, Buchan Blue, Buchan Blue Wattle",Vulnerable,2000,Listed,16/07/2000
Flora,Acacia carneorum,"Needle Wattle, Dead Finish, Purple-wood Wattle",Vulnerable,2000,Listed,16/07/2000
Flora,Acacia chapmanii australis,,Endangered,2006,Listed,18/08/2006
Flora,Acacia chinchillensis,,Vulnerable,2000,Listed,15/07/2000
Flora,Acacia chinchillensis,,Delist,2010,Listed,19/08/2010
Flora,Acacia cochlocarpa cochlocarpa,Spiral-fruited Wattle,Endangered,2000,Listed,16/07/2000
Flora,Acacia cochlocarpa velutinosa,Velvety Spiral Pod Wattle,Critically Endangered,2006,Listed,18/08/2006
Flora,Acacia constablei,Narrabarba Wattle,Vulnerable,2000,Listed,16/07/2000
Flora,Acacia constablei,Narrabarba Wattle,Transfer from Vulnerable to Critically Endangered,2023,Transfer,31/03/2023
Flora,Acacia courtii,"Three Brothers Wattle, Brother Wattle, Northern Brother Wattle",Vulnerable,2000,Listed,16/07/2000
Flora,Acacia cretacea,Chalky Wattle,Endangered,2000,Listed,16/07/2000
Flora,Acacia crombiei,Pink Gidgee,Vulnerable,2000,Listed,16/07/2000
Flora,Acacia curranii,Curly-bark Wattle,Vulnerable,2000,Listed,16/07/2000
Flora,Acacia dangarensis,,Critically Endangered,2020,Listed,25/09/2020
Flora,Acacia denticulosa,Sandpaper Wattle,Vulnerable,2000,Listed,16/07/2000
Flora,Acacia depressa,Echidna Wattle,Vulnerable,2000,Listed,16/07/2000
Flora,Acacia deuteroneura,,Vulnerable,2000,Listed,16/07/2000
Flora,Acacia enterocarpa,Jumping-jack Wattle,Endangered,2000,Listed,16/07/2000
Flora,Acacia equisetifolia,a shrub,Critically Endangered,2006,Listed,18/08/2006
Flora,Acacia eremophiloides,,Vulnerable,2000,Listed,16/07/2000
Flora,Acacia flocktoniae,Flockton Wattle,Vulnerable,2000,Listed,16/07/2000
Flora,Acacia forrestiana,Forest's Wattle,Vulnerable,2000,Listed,16/07/2000
Flora,Acacia georgensis,Bega Wattle,Vulnerable,2000,Listed,16/07/2000
Flora,Acacia glandulicarpa,Hairy-pod Wattle,Vulnerable,2000,Listed,16/07/2000
Flora,Acacia gordonii,,Endangered,2000,Listed,16/07/2000
Flora,Acacia grandifolia,,Vulnerable,2000,Listed,16/07/2000
