,objectid,listed_tax,map_taxon,scientific,vernacular,threatened,migratory,marine,cetacean,presence_r,presence_c,extract_da,taxon_grou,taxon_fami,taxon_orde,taxon_clas,taxon_phyl,taxon_king,other_ids,cell_size,regions,attributio,sprat_prof,shape_leng,shape_area,species
4086,4086,27797,27797,Abutilon julianae,Norfolk Island Abutilon,Critically Endangered,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Malvaceae,Malvales,Magnoliopsida,Magnoliophyta,Plantae,NA,0.01,NFI,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=27797,0.499999976,0.0057,Abutilon julianae
3939,3939,3763,3763,Acacia ammophila,NA,Vulnerable,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Fabaceae,Fabales,Magnoliopsida,Magnoliophyta,Plantae,49880,0.01,QLD,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=3763,12.61999935,0.328999966,Acacia ammophila
3944,3944,3763,3763,Acacia ammophila,NA,Vulnerable,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,flora,Fabaceae,Fabales,Magnoliopsida,Magnoliophyta,Plantae,49880,0.01,QLD,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=3763,16.87999913,0.481699947,Acacia ammophila
789,789,8153,8153,Acacia anomala,"Grass Wattle, Chittering Grass Wattle",Vulnerable,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Fabaceae,Fabales,Magnoliopsida,Magnoliophyta,Plantae,NA,0.01,WA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=8153,0.939999932,0.012199998,Acacia anomala
893,893,8153,8153,Acacia anomala,"Grass Wattle, Chittering Grass Wattle",Vulnerable,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,flora,Fabaceae,Fabales,Magnoliopsida,Magnoliophyta,Plantae,NA,0.01,WA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=8153,2.379999836,0.033899995,Acacia anomala
1532,1532,13553,13553,Acacia aphylla,Leafless Rock Wattle,Vulnerable,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,flora,Fabaceae,Fabales,Magnoliopsida,Magnoliophyta,Plantae,NA,0.01,WA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=13553,11.75999916,0.259199964,Acacia aphylla
1814,1814,13553,13553,Acacia aphylla,Leafless Rock Wattle,Vulnerable,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Fabaceae,Fabales,Magnoliopsida,Magnoliophyta,Plantae,NA,0.01,WA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=13553,2.35999985,0.033199995,Acacia aphylla
13,13,64821,64821,Acacia aprica,Blunt Wattle,Endangered,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Fabaceae,Fabales,Magnoliopsida,Magnoliophyta,Plantae,67429,0.01,WA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64821,4.219999765,0.23599997,Acacia aprica
29,29,64821,64821,Acacia aprica,Blunt Wattle,Endangered,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,flora,Fabaceae,Fabales,Magnoliopsida,Magnoliophyta,Plantae,67429,0.01,WA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64821,10.23999943,0.191899976,Acacia aprica
724,724,20767,20767,Acacia araneosa,"Spidery Wattle, Balcanoona Wattle",Vulnerable,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,flora,Fabaceae,Fabales,Magnoliopsida,Magnoliophyta,Plantae,NA,0.01,SA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=20767,1.739999897,0.035899996,Acacia araneosa
